code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1001,L ABERGEMENT CLEMENCIAT,1400,L ABERGEMENT CLEMENCIAT,,46.1534255214,4.92611354223,1,L',Abergement-Clémenciat,L'Abergement-Clémenciat,1,Ain,84,Auvergne-Rhône-Alpes
1002,L ABERGEMENT DE VAREY,1640,L ABERGEMENT DE VAREY,,46.0091878776,5.42801696363,2,L',Abergement-de-Varey,L'Abergement-de-Varey,1,Ain,84,Auvergne-Rhône-Alpes
1004,AMBERIEU EN BUGEY,1500,AMBERIEU EN BUGEY,,45.9608475114,5.3729257777,4,,Ambérieu-en-Bugey,Ambérieu-en-Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1005,AMBERIEUX EN DOMBES,1330,AMBERIEUX EN DOMBES,,45.9961799872,4.91227250796,5,,Ambérieux-en-Dombes,Ambérieux-en-Dombes,1,Ain,84,Auvergne-Rhône-Alpes
1006,AMBLEON,1300,AMBLEON,,45.7494989044,5.59432017366,6,,Ambléon,Ambléon,1,Ain,84,Auvergne-Rhône-Alpes
1007,AMBRONAY,1500,AMBRONAY,,46.0055913782,5.35760660735,7,,Ambronay,Ambronay,1,Ain,84,Auvergne-Rhône-Alpes
1008,AMBUTRIX,1500,AMBUTRIX,,45.9367134524,5.3328092349,8,,Ambutrix,Ambutrix,1,Ain,84,Auvergne-Rhône-Alpes
1009,ANDERT ET CONDON,1300,ANDERT ET CONDON,,45.7873565333,5.65788307924,9,,Andert-et-Condon,Andert-et-Condon,1,Ain,84,Auvergne-Rhône-Alpes
1010,ANGLEFORT,1350,ANGLEFORT,,45.9093715116,5.79516005674,10,,Anglefort,Anglefort,1,Ain,84,Auvergne-Rhône-Alpes
1011,APREMONT,1100,APREMONT,,46.2054981558,5.65781475272,11,,Apremont,Apremont,1,Ain,84,Auvergne-Rhône-Alpes
1012,ARANC,1110,ARANC,,46.0015344029,5.51130637511,12,,Aranc,Aranc,1,Ain,84,Auvergne-Rhône-Alpes
1013,ARANDAS,1230,ARANDAS,,45.8908155275,5.49870439091,13,,Arandas,Arandas,1,Ain,84,Auvergne-Rhône-Alpes
1014,ARBENT,1100,ARBENT,,46.2834936005,5.69061651221,14,,Arbent,Arbent,1,Ain,84,Auvergne-Rhône-Alpes
1015,ARBIGNIEU,1300,ARBIGNIEU,,45.8852952895,5.63448848356,15,,Arbignieu,Arbignieu,1,Ain,84,Auvergne-Rhône-Alpes
1016,ARBIGNY,1300,ARBIGNY,,46.3790321489,5.2433180365,16,,Arbigny,Arbigny,1,Ain,84,Auvergne-Rhône-Alpes
1017,ARGIS,1230,ARGIS,,45.9306309181,5.59439407895,17,,Argis,Argis,1,Ain,84,Auvergne-Rhône-Alpes
1018,ARMIX,1510,ARMIX,,45.7332584073,5.6271839556,18,,Armix,Armix,1,Ain,84,Auvergne-Rhône-Alpes
1019,ARTEMARE,1250,ARTEMARE,,45.8054865797,5.68646955529,19,,Artemare,Artemare,1,Ain,84,Auvergne-Rhône-Alpes
1020,ASPERJOC,1150,ASPERJOC,,45.1691753095,4.6696452967,20,,Asperjoc,Asperjoc,7,A
